Rank,City,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Description
14,Perth,Australia,193.8,140.8,58.3,71.2,69.6,5.5,42.4,27.7,95.7,"Perth is an Australian city known for its beaches, natural landscapes, mining industry, outdoor lifestyle, and growing economy."
15,Austin,UnitedStates,193.3,166,58.8,68.8,66.8,3.3,37.2,43.1,82.1,"Austin is a US city known for technology, startups, live music, universities, cultural diversity, and outdoor recreation."
16,Brisbane,Australia,193.3,135.2,63.3,74.5,67.9,8.7,40.8,28.5,98.1,"Brisbane is an Australian city known for its warm climate, riverfront areas, economic growth, universities, and outdoor lifestyle."
17,Abu Dhabi,UnitedArabEmirates,192.4,160.5,88.2,71.1,54.1,5.8,32.9,46.9,43.9,"Abu Dhabi is the capital of the United Arab Emirates known for energy resources, modern infrastructure, cultural landmarks, and economic development."
18,Melbourne,Australia,192.3,142.8,56.3,73,67.8,7.6,41.8,27.5,94.3,"Melbourne is an Australian city known for arts, dining, sports, universities, multicultural communities, and strong urban liveability."
19,Valencia,Spain,191.7,83.9,69.8,80.3,47.2,7.4,22.8,24.9,93.8,"Valencia is a Spanish coastal city known for Mediterranean beaches, architecture, food culture, innovation, and historic neighbourhoods."
20,Seattle,UnitedStates,190.8,162,46.1,71.5,81.5,5.1,43.4,31.9,91.7,"Seattle is a US city known for technology companies, innovation, coffee culture, waterfront areas, and natural surroundings."
21,Tampa,UnitedStates,190.5,145.7,54.7,67.8,78,2.9,36.2,32.5,84.7,"Tampa is a US city in Florida known for its waterfront, warm climate, growing economy, cultural attractions, and outdoor activities."
22,Gothenburg,Sweden,189.6,125.2,53.6,67.3,60.8,8.3,25.3,19.4,77.5,"Gothenburg is Sweden's second-largest city known for maritime industries, sustainability, design, universities, and cultural events."
23,Adelaide,Australia,189.4,109.3,67.7,73.9,76,7.9,35.5,24.3,95,"Adelaide is an Australian city known for festivals, wine regions, education, beaches, and a relaxed lifestyle."
24,Edinburgh,UnitedKingdom,189,111.6,68.9,77.5,69.9,7.9,31,28.1,84,"Edinburgh is Scotland's capital known for historic architecture, festivals, universities, culture, and scenic landscapes."
25,San Diego,UnitedStates,187.6,142.3,59.6,67.9,79.8,6.5,35.2,39.8,97.1,"San Diego is a US coastal city known for beaches, biotechnology, military presence, tourism, and outdoor recreation."
26,Portland,UnitedStates,186.3,140.2,43,71.5,78.4,3.6,33.3,32.4,89.6,"Portland is a US city known for sustainability, local food culture, outdoor activities, creativity, and neighbourhood diversity."
27,Munich,Germany,186.3,111.7,79.7,77.4,67.8,15.6,30.8,25,76,"Munich is a German city known for technology, engineering, Oktoberfest, cultural heritage, and high living standards."
28,Dallas,UnitedStates,186.2,159.1,48.1,66.4,70.5,2.8,35.2,41.9,81.9,"Dallas is a US city known for business, finance, technology, transportation, and a diverse economy."
29,Glasgow,UnitedKingdom,185.8,121.6,54.9,79,65.2,5.1,31.3,34.2,84.8,"Glasgow is a Scottish city known for music, architecture, universities, industry, and a vibrant cultural scene."
30,Muscat,Oman,185.4,98.1,80.6,64.2,42.8,4.6,19.9,35.1,67.2,"Muscat is the capital of Oman known for coastal landscapes, traditional architecture, mountains, and regional trade."
31,Oslo,Norway,183.1,114.7,66.2,78,78.4,10.4,28.1,22.1,60,"Oslo is Norway's capital known for sustainability, maritime industries, museums, outdoor recreation, and high quality of life."
32,Canberra,Australia,181.6,104,73.6,70.6,79.3,9.5,38.2,24.1,82.7,"Canberra is Australia's capital known for government institutions, museums, green spaces, universities, and planned urban design."
33,Atlanta,UnitedStates,181.3,168.1,36,67.1,75.7,2.4,41.3,45,89.7,"Atlanta is a US city known for business, transportation, technology, media, civil rights history, and cultural diversity."
34,Tallinn,Estonia,180.1,80.3,77.7,74.8,55.3,11.7,24.7,18.8,64.3,"Tallinn is Estonia's capital known for medieval architecture, digital innovation, technology, and Baltic cultural heritage."
35,Calgary,Canada,179.8,124.1,61.5,74.1,69.5,4.2,29,23.4,33.1,"Calgary is a Canadian city known for energy industries, mountain access, outdoor recreation, business, and high quality of life."
36,Madrid,Spain,179.8,92.6,72.8,79.3,53.2,10.6,26.6,36.9,85.5,"Madrid is Spain's capital known for culture, museums, government, business, historic neighbourhoods, and vibrant city life."
37,Sydney,Australia,179.7,118.5,65.9,74.8,73.4,14.8,43.4,28.6,97.1,"Sydney is an Australian coastal city known for its harbour, beaches, business sector, cultural attractions, and outdoor lifestyle."
38,Auckland,NewZealand,179.3,127.8,50.1,69.3,67.7,10.9,38.1,31.7,99.9,"Auckland is New Zealand's largest city known for harbours, multicultural communities, natural landscapes, business, and outdoor activities."
39,Cork,Ireland,179.2,105.5,64.2,55.8,68.6,6.3,33.9,25.9,89.8,"Cork is an Irish city known for its maritime history, food culture, universities, technology sector, and surrounding countryside."
40,Hamburg,Germany,178.9,116.7,57.5,74.9,67.4,11.5,33,29.1,82.8,"Hamburg is a German port city known for maritime trade, media, culture, architecture, and international commerce."
41,Stockholm,Sweden,177.7,120.3,53.8,66.6,64.7,11.4,34.1,18.5,69.7,"Stockholm is Sweden's capital known for innovation, technology, design, islands, museums, and sustainable urban development."
42,Porto,Portugal,177.3,61,67.6,79.4,45.6,11.3,24.5,25,96.6,"Porto is a Portuguese city known for historic architecture, wine production, the Douro River, and cultural heritage."
43,Ljubljana,Slovenia,176.9,80.2,78.9,67,51.5,13.6,26,22.5,76.1,"Ljubljana is Slovenia's capital known for green spaces, historic architecture, riverside areas, and a relaxed urban environment."
44,San Antonio,UnitedStates,176.6,133.5,52.2,67.9,64.5,5.3,31.7,43.9,80.6,"San Antonio is a US city known for its historic missions, River Walk, cultural diversity, tourism, and military presence."
45,Boston,UnitedStates,176.4,128.3,59.9,72.7,85.8,7.4,44.1,29.8,71.7,"Boston is a US city known for higher education, healthcare, biotechnology, history, finance, and cultural institutions."
46,Brno,CzechRepublic,175.2,97.6,74.5,76.3,42.8,13.2,26,40.8,78.2,"Brno is a Czech city known for universities, technology, research, architecture, and a growing innovation sector."
47,Split,Croatia,174.4,69,68.7,71.5,46,16.8,18.4,26.6,96.3,"Split is a Croatian coastal city known for Roman history, Mediterranean landscapes, tourism, beaches, and cultural heritage."
48,Doha,Qatar,174.3,140.8,83.9,73.4,52.2,5.6,29.2,59.9,36,"Doha is the capital of Qatar known for modern architecture, finance, energy industries, museums, and rapid urban development."
49,Dubai,UnitedArabEmirates,174.1,122.7,83.7,69.7,60,4.9,36.3,48.7,50.3,"Dubai is a city in the United Arab Emirates known for business, tourism, luxury developments, modern architecture, and global connectivity."
50,Edmonton,Canada,173.4,120.9,53.5,77.3,62.5,3.8,28.1,28.8,32.1,"Edmonton is a Canadian city known for government, energy industries, universities, river valley parks, and cultural events."
51,Ottawa,Canada,173.3,110.8,69.4,68.8,66.9,7.8,34.4,24.5,44.5,"Ottawa is Canada's capital known for government institutions, museums, technology, bilingual culture, and scenic green spaces."
52,Tokyo,Japan,173.2,109.4,76,79,51.9,13.8,42.5,42.4,85.3,"Tokyo is Japan's capital and a global metropolis known for technology, innovation, efficient transportation, culture, and urban density."
53,Cologne,Germany,173.1,117.5,57.5,72.8,62.7,10.2,35.9,38.4,84.8,"Cologne is a German city known for its cathedral, media industry, universities, trade fairs, history, and cultural attractions."
54,Vilnius,Lithuania,172.6,79.3,72.8,76,48.2,13.5,26.2,25,66.6,"Vilnius is Lithuania's capital known for historic architecture, cultural heritage, technology, universities, and green spaces."
55,Zagreb,Croatia,172,83.1,78.7,65.1,46.8,12.2,30,33.3,82.2,"Zagreb is Croatia's capital known for museums, architecture, cultural events, universities, and Central European heritage."
56,Houston,UnitedStates,171.8,162.9,36.4,69.3,65.1,2.5,41.6,57.1,85.5,"Houston is a US city known for energy industries, space exploration, healthcare, diversity, and a strong economy."
57,Wellington,NewZealand,171.4,88.4,67,64.3,70.3,13.3,39.3,23.6,97.7,"Wellington is New Zealand's capital known for government, film production, harbour views, culture, and creative industries."
58,Vancouver,Canada,171.3,98.1,57.7,72,69.1,13.7,36.7,25.5,91.2,"Vancouver is a Canadian coastal city known for mountains, beaches, multicultural communities, technology, and high quality of life."
59,Berlin,Germany,170.5,120.4,55.4,67.5,64.7,11,33.7,38.7,83.3,"Berlin is Germany's capital known for history, arts, technology, startups, cultural diversity, and creative industries."
60,Victoria,Canada,169.9,79.5,58.9,66.3,72.1,13.2,32,18.4,92.5,"Victoria is a Canadian city known for gardens, coastal scenery, historic architecture, tourism, and a relaxed lifestyle."
61,Prague,CzechRepublic,168.2,85.1,75.5,74.7,49.4,17.2,31.8,33.5,80.7,"Prague is the capital of the Czech Republic known for historic architecture, tourism, culture, universities, and preserved medieval areas."
62,San Francisco,UnitedStates,167.6,162.1,38.5,64.5,90.5,7.3,49.8,50,97.3,"San Francisco is a US city known for technology, innovation, cultural diversity, landmarks, and its scenic coastal setting."
63,Riyadh,SaudiArabia,167.3,138.9,74.5,64.7,49.8,2.8,32.5,63.3,44.4,"Riyadh is the capital of Saudi Arabia known for government, business, finance, modernization, and economic development."
64,Jeddah,SaudiArabia,165.9,126.4,73.7,60.4,45.7,3.7,30.5,66.5,66.2,"Jeddah is a Saudi Arabian coastal city known for trade, the Red Sea, historic districts, culture, and tourism."
65,Taipei,Taiwan,165.5,99.3,83.7,86.6,47,24.7,34.4,48.5,84.4,"Taipei is Taiwan's capital known for technology, innovation, food culture, public transportation, and vibrant urban life."
66,Denver,UnitedStates,165.4,129.7,52.9,69.7,76.6,4.5,36,44.3,56.3,"Denver is a US city known for outdoor recreation, technology, business, mountain access, and a growing economy."
67,Halifax,Canada,164.7,92.7,59,66.3,67.5,9.5,31.4,24.1,59,"Halifax is a Canadian coastal city known for maritime history, universities, healthcare, tourism, and ocean industries."
68,Washington,UnitedStates,164.5,132.6,39.9,70.1,82.5,6.8,41.2,42.1,81.6,"Washington, D.C. is the capital of the United States known for government, museums, monuments, diplomacy, and cultural institutions."
69,Pune,India,164.5,155.2,59,65.7,24.1,6.1,44.1,71.3,74.3,"Pune is an Indian city known for education, technology, automotive industries, culture, and a growing economy."
70,Phoenix,UnitedStates,163,148.8,46.3,67.2,68.5,3,33,57.1,53.8,"Phoenix is a US city known for desert landscapes, technology, healthcare, tourism, and year-round sunshine."
71,Singapore,Singapore,162.5,111.1,77,71.9,76.7,18.7,40.7,32.5,57.5,"Singapore is a highly developed city-state known for innovation, finance, infrastructure, cleanliness, and multicultural society."
72,Las Vegas,UnitedStates,161.4,142.4,44.5,54.1,68.5,3.3,27.4,52.1,57.4,"Las Vegas is a US city known for entertainment, tourism, hospitality, conventions, and vibrant nightlife."
73,Cluj-Napoca,Romania,160.4,75.9,77.8,65.7,39.2,12.2,29.7,43.5,74.3,"Cluj-Napoca is a Romanian city known for universities, technology, innovation, cultural events, and historic architecture."
74,Cape Town,SouthAfrica,159.3,105.2,26.2,68.8,35.2,5.4,42.5,38.7,98.2,"Cape Town is a South African coastal city known for mountains, beaches, biodiversity, tourism, and cultural diversity."
75,Miami,UnitedStates,158.6,105.1,47.3,63.6,77,6,42.9,38.9,85.7,"Miami is a US coastal city known for beaches, tourism, finance, international connections, and multicultural communities."
76,Timisoara,Romania,158.2,70.8,74.5,71.2,38,9.8,24.3,56.2,82,"Timisoara is a Romanian city known for culture, architecture, universities, technology, and innovation."
77,Montreal,Canada,158,102.4,67.6,62.5,62.9,10.6,39.7,33.7,52.4,"Montreal is a Canadian city known for French heritage, arts, festivals, universities, technology, and diverse communities."
78,Tel Aviv-Yafo,Israel,157.9,99.1,73.8,73.8,69.1,24.1,35.7,45.9,93.9,"Tel Aviv-Yafo is an Israeli coastal city known for technology, innovation, beaches, business, nightlife, and cultural diversity."
79,Bangalore,India,155.9,171,45.6,65.1,25.8,6.5,53.7,82.9,89.4,"Bangalore is an Indian technology hub known for software development, startups, research, universities, and innovation."
80,Toronto,Canada,155.8,107.6,56.7,74.3,66.3,13.2,44.7,37.4,65.3,"Toronto is Canada's largest city and a global centre known for finance, technology, culture, diversity, and extensive urban amenities."
81,Lisbon,Portugal,155,55.7,70.2,73.5,49,19.1,34.6,35,98.6,"Lisbon is Portugal's capital known for historic neighbourhoods, coastal views, architecture, tourism, technology, and culture."
82,Manchester,UnitedKingdom,153.4,103.2,44.7,74.4,65.7,7.3,39,53.3,86.9,"Manchester is a UK city known for industry, music, universities, sports, technology, and cultural innovation."
83,Bratislava,Slovakia,152.7,74.6,69.6,55.6,49.7,16.1,30.6,37,80.7,"Bratislava is Slovakia's capital known for history, architecture, business, universities, and its location along the Danube River."
84,Riga,Latvia,152.4,68.3,61.2,60.5,50.9,8.8,31.1,37.8,74.7,"Riga is Latvia's capital known for Art Nouveau architecture, culture, trade, history, and Baltic regional importance."
85,Poznan,Poland,151.6,90.8,71.7,57,41.3,9.3,32.5,59.2,77.4,"Poznan is a Polish city known for business, universities, trade fairs, historic architecture, and cultural traditions."
86,Gdansk,Poland,151.3,95.6,67.3,51,41.3,12.2,30.1,52.2,75.5,"Gdansk is a Polish coastal city known for maritime history, shipbuilding, architecture, tourism, and Baltic culture."
87,Hyderabad,India,150.6,127.2,56.8,65.3,22.8,5,42.4,76.1,73.5,"Hyderabad is an Indian city known for technology, pharmaceuticals, history, cuisine, and rapid economic growth."
88,Chicago,UnitedStates,149.8,126.3,34,65.2,80.2,3.3,41.8,50.5,66.1,"Chicago is a US city known for architecture, finance, transportation, industry, culture, and diverse neighbourhoods."
89,Warsaw,Poland,149.7,95.4,74.6,58.4,43.9,12.2,34.7,60.1,74.6,"Warsaw is Poland's capital known for business, history, reconstruction, technology, universities, and cultural institutions."
90,Pretoria,SouthAfrica,149.6,118.8,18.1,66.3,35.3,2,45,56,95.8,"Pretoria is a South African city known for government institutions, universities, history, monuments, and gardens."
91,Dublin,Ireland,148.6,100.8,46.9,51.2,69.3,9.5,40.6,41.3,85.9,"Dublin is Ireland's capital known for technology, finance, literature, universities, history, and cultural heritage."
92,Brussels,Belgium,148.4,105,44.4,73.6,66.6,7,36.8,61.6,83.8,"Brussels is Belgium's capital known for European institutions, diplomacy, business, architecture, and multicultural communities."
93,Limassol,Cyprus,148.3,76.3,62.8,51.3,57,10.4,20.6,59.5,95.7,"Limassol is a Cypriot coastal city known for shipping, tourism, beaches, business, and Mediterranean culture."
94,Wroclaw,Poland,147.8,88.9,73.8,57.4,42.5,11.2,34,61.9,78.4,"Wroclaw is a Polish city known for universities, technology, historic architecture, culture, and vibrant public spaces."
95,Nizhny Novgorod,Russia,147.3,52.2,71.8,74.5,30.2,16.1,27.1,32.6,45.5,"Nizhny Novgorod is a Russian city known for history, trade, industry, universities, and its location along major rivers."
96,Barcelona,Spain,146.8,87.4,48.6,76.9,54,12,30.5,63.6,95.7,"Barcelona is a Spanish city known for architecture, art, beaches, tourism, food culture, and innovation."
97,Seoul,SouthKorea,146,110.7,75.8,83,65.9,25.8,42.4,57.7,68.4,"Seoul is South Korea's capital known for technology, innovation, entertainment, transportation, and dynamic urban life."
98,Durban,SouthAfrica,145.6,91.7,19.4,58.6,32.9,4.7,25.5,53.1,95.6,"Durban is a South African coastal city known for beaches, port activity, cultural diversity, tourism, and warm climate."
99,Varna,Bulgaria,143.4,62.4,64.6,63.8,38.7,9.7,28.9,59.7,85.1,"Varna is a Bulgarian coastal city known for beaches, maritime history, tourism, culture, and Black Sea attractions."
100,Izmir,Turkey,143.2,54.3,67.6,73.1,37.9,9.9,39.9,60.3,96.9,"Izmir is a Turkish coastal city known for trade, history, beaches, Mediterranean lifestyle, and industry."
101,London,UnitedKingdom,142.8,115.3,45.4,70,78.7,14.3,45.2,58,88.3,"London is the capital of the United Kingdom and a global city known for finance, culture, history, education, tourism, and diverse communities."
102,Winnipeg,Canada,142.3,97.4,39.7,68.4,63.4,6.2,31.3,35.7,24.7,"Winnipeg is a Canadian city known for cultural diversity, agriculture, transportation, arts, museums, and its central location."
103,Krakow (Cracow),Poland,141.6,90.4,74.3,58.3,43.8,12.5,31.6,70.4,73.9,"Krakow is a Polish city known for historic architecture, universities, cultural heritage, tourism, and medieval landmarks."
104,Montevideo,Uruguay,141.2,63.3,44,68.5,54.1,9.3,40.1,47.2,98,"Montevideo is Uruguay's capital known for coastal areas, culture, history, public spaces, and a high quality of life."
105,Johannesburg,SouthAfrica,140.3,110.8,19.2,60.2,38.4,2.7,40.9,61.7,91.4,"Johannesburg is South Africa's largest city and an economic hub known for finance, mining history, business, culture, and diversity."
106,Los Angeles,UnitedStates,139.9,122.9,47,61.3,80.9,7.3,57.1,67.7,95.5,"Los Angeles is a US city known for entertainment, media, technology, diversity, beaches, and global cultural influence."
107,Turin,Italy,139.6,85.4,48.1,66.2,57.2,8,28,68.9,85.7,"Turin is an Italian city known for automotive industries, design, museums, architecture, universities, and culinary traditions."
108,Rome,Italy,137.8,78.7,50.7,63.4,54.4,14.8,37.9,54.6,93.7,"Rome is Italy's capital known for ancient history, architecture, art, culture, tourism, and iconic landmarks."
109,Curitiba,Brazil,137.7,40.6,38,66.8,29.6,17.3,32.7,31.2,99.6,"Curitiba is a Brazilian city known for innovative urban planning, sustainability initiatives, green spaces, and cultural diversity."
110,Sofia,Bulgaria,137,82.7,60,58.5,40.8,9.6,31,68.4,76,"Sofia is Bulgaria's capital known for history, mountains, cultural institutions, universities, and growing business sectors."
111,Kuwait City,Kuwait,136.2,124.1,70.2,57.8,43.3,9.4,34.5,71.1,20.2,"Kuwait City is the capital of Kuwait known for oil wealth, finance, modern architecture, commerce, and Gulf regional influence."
112,Ankara,Turkey,136.1,54.7,60.5,69.2,37.1,9,36.2,65,91.5,"Ankara is Turkey's capital known for government, universities, history, museums, and political importance."
113,Brasilia,Brazil,134.9,42.8,40.6,51.8,31.7,17.8,30.6,30,99,"Brasilia is Brazil's capital known for modernist architecture, government institutions, planned urban design, and cultural landmarks."
114,Hong Kong,HongKong(China),134.5,109.3,78.4,66,70.8,30,41.9,67,83.6,"Hong Kong is a global city known for finance, trade, skyscrapers, transportation, cultural diversity, and its harbour."
115,Budapest,Hungary,134.4,68.8,65.9,52.1,43.6,13.8,39,53.1,78.4,"Budapest is Hungary's capital known for historic architecture, thermal baths, culture, tourism, and the Danube River."
116,Novi Sad,Serbia,133.3,50.9,60.8,49.9,39.3,16.9,18.2,53.2,84,"Novi Sad is a Serbian city known for cultural festivals, universities, architecture, the Danube River, and relaxed urban life."
117,New York,UnitedStates,132.6,100,49.2,62.7,100,13,43.6,58.3,79.7,"New York is a global city known for finance, media, arts, culture, diversity, landmarks, and international influence."
118,Paris,France,132,97.5,42.3,77.3,73.6,17.5,41.3,64.5,88.4,"Paris is France's capital known for art, architecture, museums, fashion, cuisine, tourism, and cultural heritage."
119,Chennai,India,131.8,101.6,60,69.4,21.8,9.1,46.7,74.5,53.2,"Chennai is an Indian city known for technology, automotive industries, healthcare, education, culture, and coastal heritage."
120,Gurgaon,India,131.7,128,46.4,65.1,25.4,8,35.4,90.8,59.9,"Gurgaon (Gurugram) is an Indian city known for corporate offices, technology, finance, modern infrastructure, and business growth."
121,Islamabad,Pakistan,130.8,36.2,68.8,64.9,21.5,21.7,36.5,41.3,76.9,"Islamabad is Pakistan's capital known for government institutions, green spaces, mountains, planning, and modern architecture."
122,Minsk,Belarus,130,59.5,48.2,49,27.8,11.9,31.2,43,64.4,"Minsk is Belarus's capital known for broad avenues, Soviet-era architecture, industry, universities, and cultural institutions."
123,Lviv,Ukraine,130,44.5,61.8,61,25.8,15.2,32.1,48.8,69.6,"Lviv is a Ukrainian city known for historic architecture, cultural heritage, universities, arts, and European influences."
124,Sarajevo,BosniaAndHerzegovina,128.7,64.3,55.5,60.7,36.4,14.2,27,65.7,78.2,"Sarajevo is Bosnia and Herzegovina's capital known for history, cultural diversity, mountains, architecture, and heritage."
125,Bucharest,Romania,128.7,74.3,72,54.8,41.3,9.5,40.9,75.2,75.6,"Bucharest is Romania's capital known for business, architecture, universities, culture, and historic landmarks."
126,Kuala Lumpur,Malaysia,128.4,95.4,38.8,68.6,33.9,7.6,41.6,65.4,56.6,"Kuala Lumpur is Malaysia's capital known for business, technology, multicultural communities, modern architecture, and cuisine."
127,Monterrey,Mexico,127.5,59.5,51.8,69,48.2,8.3,31.8,71.2,80.4,"Monterrey is a Mexican city known for industry, business, mountains, universities, and economic development."
128,Ahmedabad,India,124.5,63.4,67.9,67.2,22.8,7.9,39,72.5,49.3,"Ahmedabad is an Indian city known for textiles, business, entrepreneurship, heritage sites, and cultural traditions."
129,Moscow,Russia,123.5,76.5,64.2,67.1,38.9,18.8,50.4,55.2,55.8,"Moscow is Russia's capital known for government, history, architecture, finance, culture, and major institutions."
130,Guadalajara,Mexico,122.2,47.9,37.5,80,41.2,14.4,41.8,58.9,92.8,"Guadalajara is a Mexican city known for technology, culture, mariachi music, universities, and manufacturing."
131,Amman,Jordan,120.9,45.3,61.5,65.1,42.7,7.8,40.3,77.2,89,"Amman is Jordan's capital known for history, commerce, culture, education, and regional importance."
132,Athens,Greece,120.2,52.8,44.1,57,53.5,15,38.8,56.7,95.2,"Athens is Greece's capital known for ancient history, archaeology, architecture, culture, tourism, and Mediterranean lifestyle."
133,Beijing,China,119.8,110.1,73.6,68.7,35,30.6,43.6,77.9,57.6,"Beijing is China's capital known for government, history, culture, technology, universities, and major landmarks."
134,Medellin,Colombia,119.5,34.7,46.4,78.4,31.2,17.5,38.7,63.3,99.8,"Medellin is a Colombian city known for innovation, urban transformation, mountains, culture, and technology."
135,Yerevan,Armenia,116.8,34,77.7,57.3,42.1,20.1,29.8,60.7,63.4,"Yerevan is Armenia's capital known for ancient history, architecture, culture, universities, and arts."
136,Milan,Italy,116.7,60.4,48.7,71.5,67.4,20.3,35.8,67.2,88.1,"Milan is an Italian city known for fashion, design, finance, business, art, and global cultural influence."
137,Panama City,Panama,116.5,43.6,52.8,58.8,47.6,11.5,32.8,61.4,67.8,"Panama City is the capital of Panama known for finance, the Panama Canal, trade, modern development, and biodiversity."
138,Tbilisi,Georgia,115.9,35.6,74.4,55.1,35.7,14,40.6,71.7,84.2,"Tbilisi is Georgia's capital known for history, architecture, culture, cuisine, and its location between Europe and Asia."
139,Delhi,India,115.8,121.7,41.1,66.5,23.9,8.2,57.8,90.3,58.9,"Delhi is India's capital region known for history, government, culture, monuments, commerce, and diverse communities."
140,Quito,Ecuador,115.8,40.3,37,70.1,34.6,13,40.1,65.1,99,"Quito is Ecuador's capital known for colonial architecture, mountains, culture, history, and high-altitude landscapes."
141,Saint Petersburg,Russia,115.7,62.6,61.5,61.3,34.2,16.2,48.5,61.3,60.6,"Saint Petersburg is a Russian city known for imperial history, museums, architecture, canals, and cultural institutions."
142,Thessaloniki,Greece,115.5,47.7,46.3,55.4,53.6,14.4,29.9,65.5,88.4,"Thessaloniki is a Greek city known for history, universities, waterfront areas, cuisine, and cultural life."
143,Shanghai,China,114.7,93.4,71.3,64.4,36.5,37.2,47,71.5,83.6,"Shanghai is a Chinese global city known for finance, trade, technology, skyscrapers, and international business."
144,Belgrade,Serbia,114.2,51.3,61.9,53.2,42.1,18.8,36.4,68,84.1,"Belgrade is Serbia's capital known for history, nightlife, culture, rivers, universities, and regional connectivity."
145,Baku,Azerbaijan,114.1,38.5,69.5,47.7,32.8,14.1,37.3,74.4,91.4,"Baku is Azerbaijan's capital known for energy industries, modern architecture, the Caspian Sea, and cultural heritage."
146,Istanbul,Turkey,113.7,49.4,52.2,70,39.1,16.1,51.4,68.1,93,"Istanbul is Turkey's largest city known for history, trade, architecture, culture, and its location between Europe and Asia."
147,Belo Horizonte,Brazil,112.8,28.7,39.4,64.7,30.3,17.6,43.6,52,98.5,"Belo Horizonte is a Brazilian city known for business, universities, cuisine, architecture, and surrounding mountains."
148,Odessa (Odesa),Ukraine,109.2,40.4,45.9,51,27.2,13.9,36.6,62.6,79,"Odesa is a Ukrainian coastal city known for maritime history, architecture, culture, beaches, and the Black Sea."
149,Skopje,NorthMacedonia,108.9,53.3,53.2,54.7,34.6,13.8,27.3,83.2,76.3,"Skopje is North Macedonia's capital known for history, architecture, culture, mountains, and regional connections."
150,Kolkata,India,106.6,69,54,59.8,21.1,8.2,59.4,78.4,60.9,"Kolkata is an Indian city known for literature, arts, culture, history, education, and economic importance."
